time;tre200dx;tre200dn;tre200d0;hns000d0;rka150d0;hto000d0
19690617;-;-;-;-;-;-
19690618;-;-;-;-;-;-
19690619;-;-;-;-;-;-
19690620;-;-;-;-;-;-
19690621;-;-;-;-;-;-
19690622;-;-;-;-;-;-
19690623;-;-;-;-;-;-
19690624;-;-;-;-;-;-
19690625;-;-;-;-;-;-
19690626;-;-;-;-;-;-
19690627;-;-;-;-;-;-
19690628;-;-;-;-;-;-
19690629;-;-;-;-;-;-
19690630;-;-;-;-;-;-
19690701;-;-;-;-;-;-
19690702;-;-;-;-;-;-
19690703;-;-;-;-;-;-
19690704;-;-;-;-;-;-
19690705;-;-;-;-;-;-
19690706;-;-;-;-;-;-
19690707;-;-;-;-;-;-
19690708;-;-;-;-;-;-
19690709;-;-;-;-;-;-
19690710;-;-;-;-;-;-
19690711;-;-;-;-;-;-
19690712;-;-;-;-;-;-
19690713;-;-;-;-;-;-
19690714;-;-;-;-;-;-
19690715;-;-;-;-;-;-
19690716;-;-;-;-;-;-
19690717;-;-;-;-;-;-
19690718;-;-;-;-;-;-
19690719;-;-;-;-;-;-
19690720;-;-;-;-;-;-
19690721;-;-;-;-;-;-
19690722;-;-;-;-;-;-
19690723;-;-;-;-;-;-
19690724;-;-;-;-;-;-
19690725;-;-;-;-;-;-
19690726;-;-;-;-;-;-
19690727;-;-;-;-;-;-
19690728;-;-;-;-;-;-
19690729;-;-;-;-;-;-
19690730;-;-;-;-;-;-
19690731;-;-;-;-;-;-
19690801;-;-;-;-;-;-
19690802;-;-;-;-;-;-
19690803;-;-;-;-;-;-
19690804;-;-;-;-;-;-
19690805;-;-;-;-;-;-
19690806;-;-;-;-;-;-
19690807;-;-;-;-;-;-
19690808;-;-;-;-;-;-
19690809;-;-;-;-;-;-
19690810;-;-;-;-;-;-
19690811;-;-;-;-;-;-
19690812;-;-;-;-;-;-
19690813;-;-;-;-;-;-
19690814;-;-;-;-;-;-
19690815;-;-;-;-;-;-
19690816;-;-;-;-;-;-
19690817;-;-;-;-;-;-
19690818;-;-;-;-;-;-
19690819;-;-;-;-;-;-
19690820;-;-;-;-;-;-
19690821;-;-;-;-;-;-
19690822;-;-;-;-;-;-
19690823;-;-;-;-;-;-
19690824;-;-;-;-;-;-
19690825;-;-;-;-;-;-
19690826;-;-;-;-;-;-
19690827;-;-;-;-;-;-
19690828;-;-;-;-;-;-
19690829;-;-;-;-;-;-
19690830;-;-;-;-;-;-
19690831;-;-;-;-;-;-
19690901;-;-;-;-;-;-
19690902;-;-;-;-;-;-
19690903;-;-;-;-;-;-
19690904;-;-;-;-;-;-
19690905;-;-;-;-;-;-
19690906;-;-;-;-;-;-
19690907;-;-;-;-;-;-
19690908;-;-;-;-;-;-
19690909;-;-;-;-;-;-
19690910;-;-;-;-;-;-
19690911;-;-;-;-;-;-
19690912;-;-;-;-;-;-
19690913;-;-;-;-;-;-
19690914;-;-;-;-;-;-
19690915;-;-;-;-;-;-
19690916;-;-;-;-;-;-
19690917;-;-;-;-;-;-
19690918;-;-;-;-;-;-
19690919;-;-;-;-;-;-
19690920;-;-;-;-;-;-
19690921;-;-;-;-;-;-
19690922;-;-;-;-;-;-
19690923;-;-;-;-;-;-
19690924;-;-;-;-;-;-
19690925;-;-;-;-;-;-
19690926;-;-;-;-;-;-
19690927;-;-;-;-;-;-
19690928;-;-;-;-;-;-
19690929;-;-;-;-;-;-
19690930;-;-;-;-;-;-
19691001;-;-;-;-;-;-
19691002;-;-;-;-;-;-
19691003;-;-;-;-;-;-
19691004;-;-;-;-;-;-
19691005;-;-;-;-;-;-
19691006;-;-;-;-;-;-
19691007;-;-;-;-;-;-
19691008;-;-;-;-;-;-
19691009;-;-;-;-;-;-
19691010;-;-;-;-;-;-
19691011;-;-;-;-;-;-
19691012;-;-;-;-;-;-
19691013;-;-;-;-;-;-
19691014;-;-;-;-;-;-
19691015;-;-;-;-;-;-
19691016;-;-;-;-;-;-
19691017;-;-;-;-;-;-
19691018;-;-;-;-;-;-
19691019;-;-;-;-;-;-
19691020;-;-;-;-;-;-
19691021;-;-;-;-;-;-
19691022;-;-;-;-;-;-
19691023;-;-;-;-;-;-
19691024;-;-;-;-;-;-
19691025;-;-;-;-;-;-
19691026;-;-;-;-;-;-
19691027;-;-;-;-;-;-
19691028;-;-;-;-;-;-
19691029;-;-;-;-;-;-
19691030;-;-;-;-;-;-
19691031;-;-;-;-;-;-
19691101;-;-;-;0;-;-
19691102;-;-;-;0;-;-
19691103;-;-;-;0;-;-
19691104;-;-;-;-;-;-
19691105;-;-;-;-;-;-
19691106;-;-;-;0;-;-
19691107;-;-;-;-;-;-
19691108;-;-;-;-;-;-
19691109;-;-;-;-;-;-
19691110;-;-;-;0;-;-
19691111;-;-;-;0;-;-
19691112;-;-;-;-;-;-
19691113;-;-;-;-;-;-
19691114;-;-;-;-;-;-
19691115;-;-;-;0;-;-
19691116;-;-;-;0;-;-
19691117;-;-;-;-;-;-
19691118;-;-;-;-;-;-
19691119;-;-;-;0;-;-
19691120;-;-;-;0;-;-
19691121;-;-;-;0;-;-
19691122;-;-;-;0;-;-
19691123;-;-;-;-;-;-
19691124;-;-;-;-;-;-
19691125;-;-;-;8;-;-
19691126;-;-;-;15;-;-
19691127;-;-;-;-;-;20
19691128;-;-;-;10;-;-
19691129;-;-;-;5;-;30
19691130;-;-;-;5;-;35
19691201;-;-;-;2;-;38
19691202;-;-;-;0;-;40
19691203;-;-;-;-;-;32
19691204;-;-;-;21;-;38
19691205;-;-;-;-;-;45
19691206;-;-;-;3;-;50
19691207;-;-;-;0;-;49
19691208;-;-;-;6;-;52
19691209;-;-;-;0;-;49
19691210;-;-;-;0;-;56
19691211;-;-;-;0;-;52
19691212;-;-;-;0;-;48
19691213;-;-;-;0;-;42
19691214;-;-;-;2;-;40
19691215;-;-;-;12;-;38
19691216;-;-;-;21;-;43
19691217;-;-;-;-;-;60
19691218;-;-;-;2;-;43
19691219;-;-;-;-;-;40
19691220;-;-;-;0;-;42
19691221;-;-;-;0;-;40
19691222;-;-;-;-;-;38
19691223;-;-;-;-;-;27
19691224;-;-;-;0;-;32
19691225;-;-;-;0;-;32
19691226;-;-;-;0;-;31
19691227;-;-;-;0;-;31
19691228;-;-;-;0;-;31
19691229;-;-;-;0;-;30
19691230;-;-;-;0;-;30
19691231;-;-;-;0;-;29
19700101;-;-;-;-;-;29
19700102;-;-;-;0;-;28
19700103;-;-;-;0;-;30
19700104;-;-;-;-;-;29
19700105;-;-;-;4;-;29
19700106;-;-;-;0;-;28
19700107;-;-;-;0;-;29
19700108;-;-;-;0;-;28
19700109;-;-;-;-;-;27
19700110;-;-;-;0;-;24
19700111;-;-;-;0;-;21
19700112;-;-;-;0;-;19
19700113;-;-;-;0;-;17
19700114;-;-;-;0;-;15
19700115;-;-;-;-;-;14
19700116;-;-;-;-;-;14
19700117;-;-;-;0;-;22
19700118;-;-;-;0;-;25
19700119;-;-;-;0;-;24
19700120;-;-;-;0;-;24
19700121;-;-;-;0;-;23
19700122;-;-;-;0;-;22
19700123;-;-;-;-;-;21
19700124;-;-;-;-;-;20
19700125;-;-;-;0;-;20
19700126;-;-;-;0;-;20
19700127;-;-;-;-;-;19
19700128;-;-;-;0;-;18
19700129;-;-;-;2;-;22
19700130;-;-;-;-;-;21
19700131;-;-;-;7;-;22
19700201;-;-;-;0;-;30
