time;tre200dx;tre200dn;tre200d0;hns000d0;rka150d0;hto000d0
19821031;-;-;-;-;-;-
19821101;-;-;-;-;-;-
19821102;-;-;-;-;-;-
19821103;-;-;-;-;-;-
19821104;-;-;-;-;-;-
19821105;-;-;-;-;-;-
19821106;-;-;-;-;-;-
19821107;-;-;-;-;-;-
19821108;-;-;-;-;-;-
19821109;-;-;-;-;-;-
19821110;-;-;-;-;-;-
19821111;-;-;-;-;-;-
19821112;-;-;-;-;-;-
19821113;-;-;-;-;-;-
19821114;-;-;-;-;-;-
19821115;-;-;-;-;-;-
19821116;-;-;-;-;-;-
19821117;-;-;-;-;-;-
19821118;-;-;-;-;-;-
19821119;-;-;-;-;-;-
19821120;-;-;-;-;-;-
19821121;-;-;-;-;-;-
19821122;-;-;-;-;-;-
19821123;-;-;-;-;-;-
19821124;-;-;-;-;-;-
19821125;-;-;-;-;-;-
19821126;-;-;-;-;-;-
19821127;-;-;-;-;-;-
19821128;-;-;-;-;-;-
19821129;-;-;-;-;-;-
19821130;-;-;-;-;-;-
19821201;-;-;-;-;-;-
19821202;-;-;-;-;-;-
19821203;-;-;-;-;-;-
19821204;-;-;-;-;-;-
19821205;-;-;-;-;-;-
19821206;-;-;-;-;-;-
19821207;-;-;-;-;-;-
19821208;-;-;-;-;-;-
19821209;-;-;-;-;-;-
19821210;-;-;-;-;-;-
19821211;-;-;-;-;-;-
19821212;-;-;-;-;-;-
19821213;-;-;-;-;-;-
19821214;-;-;-;-;-;-
19821215;-;-;-;-;-;-
19821216;-;-;-;-;-;-
19821217;-;-;-;-;-;-
19821218;-;-;-;-;-;-
19821219;-;-;-;-;-;-
19821220;-;-;-;-;-;-
19821221;-;-;-;-;-;-
19821222;-;-;-;-;-;-
19821223;-;-;-;-;-;-
19821224;-;-;-;-;-;-
19821225;-;-;-;-;-;-
19821226;-;-;-;-;-;-
19821227;-;-;-;-;-;-
19821228;-;-;-;-;-;-
19821229;-;-;-;-;-;-
19821230;-;-;-;-;-;-
19821231;-;-;-;-;-;-
19830101;-;-;-;-;-;-
19830102;-;-;-;-;-;-
19830103;-;-;-;-;-;-
19830104;-;-;-;-;-;-
19830105;-;-;-;-;-;-
19830106;-;-;-;-;-;-
19830107;-;-;-;-;-;-
19830108;-;-;-;-;-;-
19830109;-;-;-;-;-;-
19830110;-;-;-;-;-;-
19830111;-;-;-;-;-;-
19830112;-;-;-;-;-;-
19830113;-;-;-;-;-;-
19830114;-;-;-;-;-;-
19830115;-;-;-;-;-;-
19830116;-;-;-;-;-;-
19830117;-;-;-;-;-;-
19830118;-;-;-;-;-;-
19830119;-;-;-;-;-;-
19830120;-;-;-;-;-;-
19830121;-;-;-;-;-;-
19830122;-;-;-;-;-;-
19830123;-;-;-;-;-;-
19830124;-;-;-;-;-;-
19830125;-;-;-;-;-;-
19830126;-;-;-;-;-;-
19830127;-;-;-;-;-;-
19830128;-;-;-;-;-;-
19830129;-;-;-;-;-;-
19830130;-;-;-;-;-;-
19830131;-;-;-;-;-;-
19830201;-;-;-;-;-;-
19830202;-;-;-;-;-;-
19830203;-;-;-;-;-;-
19830204;-;-;-;-;-;-
19830205;-;-;-;-;-;-
19830206;-;-;-;-;-;-
19830207;-;-;-;-;-;-
19830208;-;-;-;-;-;-
19830209;-;-;-;-;-;-
19830210;-;-;-;-;-;-
19830211;-;-;-;-;-;-
19830212;-;-;-;-;-;-
19830213;-;-;-;-;-;-
19830214;-;-;-;-;-;-
19830215;-;-;-;-;-;-
19830216;-;-;-;-;-;-
19830217;-;-;-;-;-;-
19830218;-;-;-;-;-;-
19830219;-;-;-;-;-;-
19830220;-;-;-;-;-;-
19830221;-;-;-;-;-;-
19830222;-;-;-;-;-;-
19830223;-;-;-;-;-;-
19830224;-;-;-;-;-;-
19830225;-;-;-;-;-;-
19830226;-;-;-;-;-;-
19830227;-;-;-;-;-;-
19830228;-;-;-;-;-;-
19830301;-;-;-;-;-;-
19830302;-;-;-;-;-;-
19830303;-;-;-;-;-;-
19830304;-;-;-;-;-;-
19830305;-;-;-;-;-;-
19830306;-;-;-;-;-;-
19830307;-;-;-;-;-;-
19830308;-;-;-;-;-;-
19830309;-;-;-;-;-;-
19830310;-;-;-;-;-;-
19830311;-;-;-;-;-;-
19830312;-;-;-;-;-;-
19830313;-;-;-;-;-;-
19830314;-;-;-;-;-;-
19830315;-;-;-;-;-;-
19830316;-;-;-;-;-;-
19830317;-;-;-;-;-;-
19830318;-;-;-;-;-;-
19830319;-;-;-;-;-;-
19830320;-;-;-;-;-;-
19830321;-;-;-;-;-;-
19830322;-;-;-;-;-;-
19830323;-;-;-;-;-;-
19830324;-;-;-;-;-;-
19830325;-;-;-;-;-;-
19830326;-;-;-;-;-;-
19830327;-;-;-;-;-;-
19830328;-;-;-;-;-;-
19830329;-;-;-;-;-;-
19830330;-;-;-;-;-;-
19830331;-;-;-;-;-;-
19830401;-;-;-;-;-;-
19830402;-;-;-;-;-;-
19830403;-;-;-;-;-;-
19830404;-;-;-;-;-;-
19830405;-;-;-;-;-;-
19830406;-;-;-;-;-;-
19830407;-;-;-;-;-;-
19830408;-;-;-;-;-;-
19830409;-;-;-;-;-;-
19830410;-;-;-;-;-;-
19830411;-;-;-;-;-;-
19830412;-;-;-;-;-;-
19830413;-;-;-;-;-;-
19830414;-;-;-;-;-;-
19830415;-;-;-;-;-;-
19830416;-;-;-;-;-;-
19830417;-;-;-;-;-;-
19830418;-;-;-;-;-;-
19830419;-;-;-;-;-;-
19830420;-;-;-;-;-;-
19830421;-;-;-;-;-;-
19830422;-;-;-;-;-;-
19830423;-;-;-;-;-;-
19830424;-;-;-;-;-;-
19830425;-;-;-;-;-;-
19830426;-;-;-;-;-;-
19830427;-;-;-;-;-;-
19830428;-;-;-;-;-;-
19830429;-;-;-;-;-;-
19830430;-;-;-;-;-;-
19830501;-;-;-;-;-;-
19830502;-;-;-;-;-;-
19830503;-;-;-;-;-;-
19830504;-;-;-;-;-;-
19830505;-;-;-;-;-;-
19830506;-;-;-;-;-;-
19830507;-;-;-;-;-;-
19830508;-;-;-;-;-;-
19830509;-;-;-;-;-;-
19830510;-;-;-;-;-;-
19830511;-;-;-;-;-;-
19830512;-;-;-;-;-;-
19830513;-;-;-;-;-;-
19830514;-;-;-;-;-;-
19830515;-;-;-;-;-;-
19830516;-;-;-;-;-;-
19830517;-;-;-;-;-;-
19830518;-;-;-;-;-;-
19830519;-;-;-;-;-;-
19830520;-;-;-;-;-;-
19830521;-;-;-;-;-;-
19830522;-;-;-;-;-;-
19830523;-;-;-;-;-;-
19830524;-;-;-;-;-;-
19830525;-;-;-;-;-;-
19830526;-;-;-;-;-;-
19830527;-;-;-;-;-;-
19830528;-;-;-;-;-;-
19830529;-;-;-;-;-;-
19830530;-;-;-;-;-;-
19830531;-;-;-;-;-;-
19830601;-;-;-;-;-;-
19830602;-;-;-;-;-;-
19830603;-;-;-;-;-;-
19830604;-;-;-;-;-;-
19830605;-;-;-;-;-;-
19830606;-;-;-;-;-;-
19830607;-;-;-;-;-;-
19830608;-;-;-;-;-;-
19830609;-;-;-;-;-;-
19830610;-;-;-;-;-;-
19830611;-;-;-;-;-;-
19830612;-;-;-;-;-;-
19830613;-;-;-;-;-;-
19830614;-;-;-;-;-;-
19830615;-;-;-;-;-;-
19830616;-;-;-;-;-;-
19830617;-;-;-;-;-;-
19830618;-;-;-;-;-;-
19830619;-;-;-;-;-;-
19830620;-;-;-;-;-;-
19830621;-;-;-;-;-;-
19830622;-;-;-;-;-;-
19830623;-;-;-;-;-;-
19830624;-;-;-;-;-;-
19830625;-;-;-;-;-;-
19830626;-;-;-;-;-;-
19830627;-;-;-;-;-;-
19830628;-;-;-;-;-;-
19830629;-;-;-;-;-;-
19830630;-;-;-;-;-;-
19830701;-;-;-;-;-;-
19830702;-;-;-;-;-;-
19830703;-;-;-;-;-;-
19830704;-;-;-;-;-;-
19830705;-;-;-;-;-;-
19830706;-;-;-;-;-;-
19830707;-;-;-;-;-;-
19830708;-;-;-;-;-;-
19830709;-;-;-;-;-;-
19830710;-;-;-;-;-;-
19830711;-;-;-;-;-;-
19830712;-;-;-;-;-;-
19830713;-;-;-;-;-;-
19830714;-;-;-;-;-;-
19830715;-;-;-;-;-;-
19830716;-;-;-;-;-;-
19830717;-;-;-;-;-;-
19830718;-;-;-;-;-;-
19830719;-;-;-;-;-;-
19830720;-;-;-;-;-;-
19830721;-;-;-;-;-;-
19830722;-;-;-;-;-;-
19830723;-;-;-;-;-;-
19830724;-;-;-;-;-;-
19830725;-;-;-;-;-;-
19830726;-;-;-;-;-;-
19830727;-;-;-;-;-;-
19830728;-;-;-;-;-;-
19830729;-;-;-;-;-;-
19830730;-;-;-;-;-;-
19830731;-;-;-;-;-;-
19830801;-;-;-;-;-;-
19830802;-;-;-;-;-;-
19830803;-;-;-;-;-;-
19830804;-;-;-;-;-;-
19830805;-;-;-;-;-;-
19830806;-;-;-;-;-;-
19830807;-;-;-;-;-;-
19830808;-;-;-;-;-;-
19830809;-;-;-;-;-;-
19830810;-;-;-;-;-;-
19830811;-;-;-;-;-;-
19830812;-;-;-;-;-;-
19830813;-;-;-;-;-;-
19830814;-;-;-;-;-;-
19830815;-;-;-;-;-;-
19830816;-;-;-;-;-;-
19830817;-;-;-;-;-;-
19830818;-;-;-;-;-;-
19830819;-;-;-;-;-;-
19830820;-;-;-;-;-;-
19830821;-;-;-;-;-;-
19830822;-;-;-;-;-;-
19830823;-;-;-;-;-;-
19830824;-;-;-;-;-;-
19830825;-;-;-;-;-;-
19830826;-;-;-;-;-;-
19830827;-;-;-;-;-;-
19830828;-;-;-;-;-;-
19830829;-;-;-;-;-;-
19830830;-;-;-;-;-;-
19830831;-;-;-;-;-;-
19830901;-;-;-;-;-;-
19830902;-;-;-;-;-;-
19830903;-;-;-;-;-;-
19830904;-;-;-;-;-;-
19830905;-;-;-;-;-;-
19830906;-;-;-;-;-;-
19830907;-;-;-;-;-;-
19830908;-;-;-;-;-;-
19830909;-;-;-;-;-;-
19830910;-;-;-;-;-;-
19830911;-;-;-;-;-;-
19830912;-;-;-;-;-;-
19830913;-;-;-;-;-;-
19830914;-;-;-;-;-;-
19830915;-;-;-;-;-;-
19830916;-;-;-;-;-;-
19830917;-;-;-;-;-;-
19830918;-;-;-;-;-;-
19830919;-;-;-;-;-;-
19830920;-;-;-;-;-;-
19830921;-;-;-;-;-;-
19830922;-;-;-;-;-;-
19830923;-;-;-;-;-;-
19830924;-;-;-;-;-;-
19830925;-;-;-;-;-;-
19830926;-;-;-;-;-;-
19830927;-;-;-;-;-;-
19830928;-;-;-;-;-;-
19830929;-;-;-;-;-;-
19830930;-;-;-;-;-;-
19831001;-;-;-;-;-;-
19831002;-;-;-;-;-;-
19831003;-;-;-;-;-;-
19831004;-;-;-;-;-;-
19831005;-;-;-;-;-;-
19831006;-;-;-;-;-;-
19831007;-;-;-;-;-;-
19831008;-;-;-;-;-;-
19831009;-;-;-;-;-;-
19831010;-;-;-;-;-;-
19831011;-;-;-;-;-;-
19831012;-;-;-;-;-;-
19831013;-;-;-;-;-;-
19831014;-;-;-;-;-;-
19831015;-;-;-;-;-;-
19831016;-;-;-;-;-;-
19831017;-;-;-;-;-;-
19831018;-;-;-;-;-;-
19831019;-;-;-;-;-;-
19831020;-;-;-;-;-;-
19831021;-;-;-;-;-;-
19831022;-;-;-;-;-;-
19831023;-;-;-;-;-;-
19831024;-;-;-;-;-;-
19831025;-;-;-;-;-;-
19831026;-;-;-;-;-;-
19831027;-;-;-;-;-;-
19831028;-;-;-;-;-;-
19831029;-;-;-;-;-;-
19831030;-;-;-;-;-;-
19831031;-;-;-;-;-;-
19831101;-;-;-;-;-;-
19831102;-;-;-;-;-;-
19831103;-;-;-;-;-;-
19831104;-;-;-;-;-;-
19831105;-;-;-;-;-;-
19831106;-;-;-;-;-;-
19831107;-;-;-;-;-;-
19831108;-;-;-;-;-;-
19831109;-;-;-;-;-;-
19831110;-;-;-;-;-;-
19831111;-;-;-;-;-;-
19831112;-;-;-;-;-;-
19831113;-;-;-;-;-;-
19831114;-;-;-;-;-;-
19831115;-;-;-;-;-;-
19831116;-;-;-;-;-;-
19831117;-;-;-;-;-;-
19831118;-;-;-;-;-;-
19831119;-;-;-;-;-;-
19831120;-;-;-;-;-;-
19831121;-;-;-;-;-;-
19831122;-;-;-;-;-;-
19831123;-;-;-;-;-;-
19831124;-;-;-;-;-;-
19831125;-;-;-;-;-;-
19831126;-;-;-;-;-;-
19831127;-;-;-;-;-;-
19831128;-;-;-;-;-;-
19831129;-;-;-;-;-;-
19831130;-;-;-;-;-;-
19831201;-;-;-;-;-;-
19831202;-;-;-;-;-;-
19831203;-;-;-;-;-;-
19831204;-;-;-;-;-;-
19831205;-;-;-;-;-;-
19831206;-;-;-;-;-;-
19831207;-;-;-;-;-;-
19831208;-;-;-;-;-;-
19831209;-;-;-;-;-;-
19831210;-;-;-;-;-;-
19831211;-;-;-;-;-;-
19831212;-;-;-;-;-;-
19831213;-;-;-;-;-;-
19831214;-;-;-;-;-;-
19831215;-;-;-;-;-;-
19831216;-;-;-;-;-;-
19831217;-;-;-;-;-;-
19831218;-;-;-;-;-;-
19831219;-;-;-;-;-;-
19831220;-;-;-;-;-;-
19831221;-;-;-;-;-;-
19831222;-;-;-;-;-;-
19831223;-;-;-;-;-;-
19831224;-;-;-;-;-;-
19831225;-;-;-;-;-;-
19831226;-;-;-;-;-;-
19831227;-;-;-;-;-;-
19831228;-;-;-;-;-;-
19831229;-;-;-;-;-;-
19831230;-;-;-;-;-;-
19831231;-;-;-;-;-;-
19840101;-;-;-;-;-;-
19840102;-;-;-;-;-;-
19840103;-;-;-;-;-;-
19840104;-;-;-;-;-;-
19840105;-;-;-;-;-;-
19840106;-;-;-;-;-;-
19840107;-;-;-;-;-;-
19840108;-;-;-;-;-;-
19840109;-;-;-;-;-;-
19840110;-;-;-;-;-;-
19840111;-;-;-;-;-;-
19840112;-;-;-;-;-;-
19840113;-;-;-;-;-;-
19840114;-;-;-;-;-;-
19840115;-;-;-;-;-;-
19840116;-;-;-;-;-;-
19840117;-;-;-;-;-;-
19840118;-;-;-;-;-;-
19840119;-;-;-;-;-;-
19840120;-;-;-;-;-;-
19840121;-;-;-;-;-;-
19840122;-;-;-;-;-;-
19840123;-;-;-;-;-;-
19840124;-;-;-;-;-;-
19840125;-;-;-;-;-;-
19840126;-;-;-;-;-;-
19840127;-;-;-;-;-;-
19840128;-;-;-;-;-;-
19840129;-;-;-;-;-;-
19840130;-;-;-;-;-;-
19840131;-;-;-;-;-;-
19840201;-;-;-;-;-;-
19840202;-;-;-;-;-;-
19840203;-;-;-;-;-;-
19840204;-;-;-;-;-;-
19840205;-;-;-;-;-;-
19840206;-;-;-;-;-;-
19840207;-;-;-;-;-;-
19840208;-;-;-;-;-;-
19840209;-;-;-;-;-;-
19840210;-;-;-;-;-;-
19840211;-;-;-;-;-;-
19840212;-;-;-;-;-;-
19840213;-;-;-;-;-;-
19840214;-;-;-;-;-;-
19840215;-;-;-;-;-;-
19840216;-;-;-;-;-;-
19840217;-;-;-;-;-;-
19840218;-;-;-;-;-;-
19840219;-;-;-;-;-;-
19840220;-;-;-;-;-;-
19840221;-;-;-;-;-;-
19840222;-;-;-;-;-;-
19840223;-;-;-;-;-;-
19840224;-;-;-;-;-;-
19840225;-;-;-;-;-;-
19840226;-;-;-;-;-;-
19840227;-;-;-;-;-;-
19840228;-;-;-;-;-;-
19840229;-;-;-;-;-;-
19840301;-;-;-;-;-;-
19840302;-;-;-;-;-;-
19840303;-;-;-;-;-;-
19840304;-;-;-;-;-;-
19840305;-;-;-;-;-;-
19840306;-;-;-;-;-;-
19840307;-;-;-;-;-;-
19840308;-;-;-;-;-;-
19840309;-;-;-;-;-;-
19840310;-;-;-;-;-;-
19840311;-;-;-;-;-;-
19840312;-;-;-;-;-;-
19840313;-;-;-;-;-;-
19840314;-;-;-;-;-;-
19840315;-;-;-;-;-;-
19840316;-;-;-;-;-;-
19840317;-;-;-;-;-;-
19840318;-;-;-;-;-;-
19840319;-;-;-;-;-;-
19840320;-;-;-;-;-;-
19840321;-;-;-;-;-;-
19840322;-;-;-;-;-;-
19840323;-;-;-;-;-;-
19840324;-;-;-;-;-;-
19840325;-;-;-;-;-;-
19840326;-;-;-;-;-;-
19840327;-;-;-;-;-;-
19840328;-;-;-;-;-;-
19840329;-;-;-;-;-;-
19840330;-;-;-;-;-;-
19840331;-;-;-;-;-;-
19840401;-;-;-;-;-;-
19840402;-;-;-;-;-;-
19840403;-;-;-;-;-;-
19840404;-;-;-;-;-;-
19840405;-;-;-;-;-;-
19840406;-;-;-;-;-;-
19840407;-;-;-;-;-;-
19840408;-;-;-;-;-;-
19840409;-;-;-;-;-;-
19840410;-;-;-;-;-;-
19840411;-;-;-;-;-;-
19840412;-;-;-;-;-;-
19840413;-;-;-;-;-;-
19840414;-;-;-;-;-;-
19840415;-;-;-;-;-;-
19840416;-;-;-;-;-;-
19840417;-;-;-;-;-;-
19840418;-;-;-;-;-;-
19840419;-;-;-;-;-;-
19840420;-;-;-;-;-;-
19840421;-;-;-;-;-;-
19840422;-;-;-;-;-;-
19840423;-;-;-;-;-;-
19840424;-;-;-;-;-;-
19840425;-;-;-;-;-;-
19840426;-;-;-;-;-;-
19840427;-;-;-;-;-;-
19840428;-;-;-;-;-;-
19840429;-;-;-;-;-;-
19840430;-;-;-;-;-;-
19840501;-;-;-;-;-;-
19840502;-;-;-;-;-;-
19840503;-;-;-;-;-;-
19840504;-;-;-;-;-;-
19840505;-;-;-;-;-;-
19840506;-;-;-;-;-;-
19840507;-;-;-;-;-;-
19840508;-;-;-;-;-;-
19840509;-;-;-;-;-;-
19840510;-;-;-;-;-;-
19840511;-;-;-;-;-;-
19840512;-;-;-;-;-;-
19840513;-;-;-;-;-;-
19840514;-;-;-;-;-;-
19840515;-;-;-;-;-;-
19840516;-;-;-;-;-;-
19840517;-;-;-;-;-;-
19840518;-;-;-;-;-;-
19840519;-;-;-;-;-;-
19840520;-;-;-;-;-;-
19840521;-;-;-;-;-;-
19840522;-;-;-;-;-;-
19840523;-;-;-;-;-;-
19840524;-;-;-;-;-;-
19840525;-;-;-;-;-;-
19840526;-;-;-;-;-;-
19840527;-;-;-;-;-;-
19840528;-;-;-;-;-;-
19840529;-;-;-;-;-;-
19840530;-;-;-;-;-;-
19840531;-;-;-;-;-;-
19840601;-;-;-;-;-;-
19840602;-;-;-;-;-;-
19840603;-;-;-;-;-;-
19840604;-;-;-;-;-;-
19840605;-;-;-;-;-;-
19840606;-;-;-;-;-;-
19840607;-;-;-;-;-;-
19840608;-;-;-;-;-;-
19840609;-;-;-;-;-;-
19840610;-;-;-;-;-;-
19840611;-;-;-;-;-;-
19840612;-;-;-;-;-;-
19840613;-;-;-;-;-;-
19840614;-;-;-;-;-;-
19840615;-;-;-;-;-;-
19840616;-;-;-;-;-;-
19840617;-;-;-;-;-;-
19840618;-;-;-;-;-;-
19840619;-;-;-;-;-;-
19840620;-;-;-;-;-;-
19840621;-;-;-;-;-;-
19840622;-;-;-;-;-;-
19840623;-;-;-;-;-;-
19840624;-;-;-;-;-;-
19840625;-;-;-;-;-;-
19840626;-;-;-;-;-;-
19840627;-;-;-;-;-;-
19840628;-;-;-;-;-;-
19840629;-;-;-;-;-;-
19840630;-;-;-;-;-;-
19840701;-;-;-;-;-;-
19840702;-;-;-;-;-;-
19840703;-;-;-;-;-;-
19840704;-;-;-;-;-;-
19840705;-;-;-;-;-;-
19840706;-;-;-;-;-;-
19840707;-;-;-;-;-;-
19840708;-;-;-;-;-;-
19840709;-;-;-;-;-;-
19840710;-;-;-;-;-;-
19840711;-;-;-;-;-;-
19840712;-;-;-;-;-;-
19840713;-;-;-;-;-;-
19840714;-;-;-;-;-;-
19840715;-;-;-;-;-;-
19840716;-;-;-;-;-;-
19840717;-;-;-;-;-;-
19840718;-;-;-;-;-;-
19840719;-;-;-;-;-;-
19840720;-;-;-;-;-;-
19840721;-;-;-;-;-;-
19840722;-;-;-;-;-;-
19840723;-;-;-;-;-;-
19840724;-;-;-;-;-;-
19840725;-;-;-;-;-;-
19840726;-;-;-;-;-;-
19840727;-;-;-;-;-;-
19840728;-;-;-;-;-;-
19840729;-;-;-;-;-;-
19840730;-;-;-;-;-;-
19840731;-;-;-;-;-;-
19840801;-;-;-;-;-;-
19840802;-;-;-;-;-;-
19840803;-;-;-;-;-;-
19840804;-;-;-;-;-;-
19840805;-;-;-;-;-;-
19840806;-;-;-;-;-;-
19840807;-;-;-;-;-;-
19840808;-;-;-;-;-;-
19840809;-;-;-;-;-;-
19840810;-;-;-;-;-;-
19840811;-;-;-;-;-;-
19840812;-;-;-;-;-;-
19840813;-;-;-;-;-;-
19840814;-;-;-;-;-;-
19840815;-;-;-;-;-;-
19840816;-;-;-;-;-;-
19840817;-;-;-;-;-;-
19840818;-;-;-;-;-;-
19840819;-;-;-;-;-;-
19840820;-;-;-;-;-;-
19840821;-;-;-;-;-;-
19840822;-;-;-;-;-;-
19840823;-;-;-;-;-;-
19840824;-;-;-;-;-;-
19840825;-;-;-;-;-;-
19840826;-;-;-;-;-;-
19840827;-;-;-;-;-;-
19840828;-;-;-;-;-;-
19840829;-;-;-;-;-;-
19840830;-;-;-;-;-;-
19840831;-;-;-;-;-;-
19840901;-;-;-;-;-;-
19840902;-;-;-;-;-;-
19840903;-;-;-;-;-;-
19840904;-;-;-;-;-;-
19840905;-;-;-;-;-;-
19840906;-;-;-;-;-;-
19840907;-;-;-;-;-;-
19840908;-;-;-;-;-;-
19840909;-;-;-;-;-;-
19840910;-;-;-;-;-;-
19840911;-;-;-;-;-;-
19840912;-;-;-;-;-;-
19840913;-;-;-;-;-;-
19840914;-;-;-;-;-;-
19840915;-;-;-;-;-;-
19840916;-;-;-;-;-;-
19840917;-;-;-;-;-;-
19840918;-;-;-;-;-;-
19840919;-;-;-;-;-;-
19840920;-;-;-;-;-;-
19840921;-;-;-;-;-;-
19840922;-;-;-;-;-;-
19840923;-;-;-;-;-;-
19840924;-;-;-;-;-;-
19840925;-;-;-;-;-;-
19840926;-;-;-;-;-;-
19840927;-;-;-;-;-;-
19840928;-;-;-;-;-;-
19840929;-;-;-;-;-;-
19840930;-;-;-;-;-;-
19841001;-;-;-;-;-;-
19841002;-;-;-;-;-;-
19841003;-;-;-;-;-;-
19841004;-;-;-;-;-;-
19841005;-;-;-;-;-;-
19841006;-;-;-;-;-;-
19841007;-;-;-;-;-;-
19841008;-;-;-;-;-;-
19841009;-;-;-;-;-;-
19841010;-;-;-;-;-;-
19841011;-;-;-;-;-;-
19841012;-;-;-;-;-;-
19841013;-;-;-;-;-;-
19841014;-;-;-;-;-;-
19841015;-;-;-;-;-;-
19841016;-;-;-;-;-;-
19841017;-;-;-;-;-;-
19841018;-;-;-;-;-;-
19841019;-;-;-;-;-;-
19841020;-;-;-;-;-;-
19841021;-;-;-;-;-;-
19841022;-;-;-;-;-;-
19841023;-;-;-;-;-;-
19841024;-;-;-;-;-;-
19841025;-;-;-;-;-;-
19841026;-;-;-;-;-;-
19841027;-;-;-;-;-;-
19841028;-;-;-;-;-;-
19841029;-;-;-;-;-;-
19841030;-;-;-;-;-;-
19841031;-;-;-;-;-;-
19841101;-;-;-;-;-;-
19841102;-;-;-;-;-;-
19841103;-;-;-;-;-;-
19841104;-;-;-;-;-;-
19841105;-;-;-;-;-;-
19841106;-;-;-;-;-;-
19841107;-;-;-;-;-;-
19841108;-;-;-;-;-;-
19841109;-;-;-;-;-;-
19841110;-;-;-;-;-;-
19841111;-;-;-;-;-;-
19841112;-;-;-;-;-;-
19841113;-;-;-;-;-;-
19841114;-;-;-;-;-;-
19841115;-;-;-;-;-;-
19841116;-;-;-;-;-;-
19841117;-;-;-;-;-;-
19841118;-;-;-;-;-;-
19841119;-;-;-;-;-;-
19841120;-;-;-;-;-;-
19841121;-;-;-;-;-;-
19841122;-;-;-;-;-;-
19841123;-;-;-;-;-;-
19841124;-;-;-;-;-;-
19841125;-;-;-;-;-;-
19841126;-;-;-;-;-;-
19841127;-;-;-;-;-;-
19841128;-;-;-;-;-;-
19841129;-;-;-;-;-;-
19841130;-;-;-;-;-;-
19841201;-;-;-;-;-;-
19841202;-;-;-;-;-;-
19841203;-;-;-;-;-;-
19841204;-;-;-;-;-;-
19841205;-;-;-;-;-;-
19841206;-;-;-;-;-;-
19841207;-;-;-;-;-;-
19841208;-;-;-;-;-;-
19841209;-;-;-;-;-;-
19841210;-;-;-;-;-;-
19841211;-;-;-;-;-;-
19841212;-;-;-;-;-;-
19841213;-;-;-;-;-;-
19841214;-;-;-;-;-;-
19841215;-;-;-;-;-;-
19841216;-;-;-;-;-;-
19841217;-;-;-;-;-;-
19841218;-;-;-;-;-;-
19841219;-;-;-;-;-;-
19841220;-;-;-;-;-;-
19841221;-;-;-;-;-;-
19841222;-;-;-;-;-;-
19841223;-;-;-;-;-;-
19841224;-;-;-;-;-;-
19841225;-;-;-;-;-;-
19841226;-;-;-;-;-;-
19841227;-;-;-;-;-;-
19841228;-;-;-;-;-;-
19841229;-;-;-;-;-;-
19841230;-;-;-;-;-;-
19841231;-;-;-;-;-;-
19850101;-;-;-;-;-;-
19850102;-;-;-;-;-;-
19850103;-;-;-;-;-;-
19850104;-;-;-;-;-;-
19850105;-;-;-;-;-;-
19850106;-;-;-;-;-;-
19850107;-;-;-;-;-;-
19850108;-;-;-;-;-;-
19850109;-;-;-;-;-;-
19850110;-;-;-;-;-;-
19850111;-;-;-;-;-;-
19850112;-;-;-;-;-;-
19850113;-;-;-;-;-;-
19850114;-;-;-;-;-;-
19850115;-;-;-;-;-;-
19850116;-;-;-;-;-;-
19850117;-;-;-;-;-;-
19850118;-;-;-;-;-;-
19850119;-;-;-;-;-;-
19850120;-;-;-;-;-;-
19850121;-;-;-;-;-;-
19850122;-;-;-;-;-;-
19850123;-;-;-;-;-;-
19850124;-;-;-;-;-;-
19850125;-;-;-;-;-;-
19850126;-;-;-;-;-;-
19850127;-;-;-;-;-;-
19850128;-;-;-;-;-;-
19850129;-;-;-;-;-;-
19850130;-;-;-;-;-;-
19850131;-;-;-;-;-;-
19850201;-;-;-;-;-;-
19850202;-;-;-;-;-;-
19850203;-;-;-;-;-;-
19850204;-;-;-;-;-;-
19850205;-;-;-;-;-;-
19850206;-;-;-;-;-;-
19850207;-;-;-;-;-;-
19850208;-;-;-;-;-;-
19850209;-;-;-;-;-;-
19850210;-;-;-;-;-;-
19850211;-;-;-;-;-;-
19850212;-;-;-;-;-;-
19850213;-;-;-;-;-;-
19850214;-;-;-;-;-;-
19850215;-;-;-;-;-;-
19850216;-;-;-;-;-;-
19850217;-;-;-;-;-;-
19850218;-;-;-;-;-;-
19850219;-;-;-;-;-;-
19850220;-;-;-;-;-;-
19850221;-;-;-;-;-;-
19850222;-;-;-;-;-;-
19850223;-;-;-;-;-;-
19850224;-;-;-;-;-;-
19850225;-;-;-;-;-;-
19850226;-;-;-;-;-;-
19850227;-;-;-;-;-;-
19850228;-;-;-;-;-;-
19850301;-;-;-;-;-;-
19850302;-;-;-;-;-;-
19850303;-;-;-;-;-;-
19850304;-;-;-;-;-;-
19850305;-;-;-;-;-;-
19850306;-;-;-;-;-;-
19850307;-;-;-;-;-;-
19850308;-;-;-;-;-;-
19850309;-;-;-;-;-;-
19850310;-;-;-;-;-;-
19850311;-;-;-;-;-;-
19850312;-;-;-;-;-;-
19850313;-;-;-;-;-;-
19850314;-;-;-;-;-;-
19850315;-;-;-;-;-;-
19850316;-;-;-;-;-;-
19850317;-;-;-;-;-;-
19850318;-;-;-;-;-;-
19850319;-;-;-;-;-;-
19850320;-;-;-;-;-;-
