stn;time;tre200dn
ARO;19500828;12.0
ARO;19500829;07. Jun
ARO;19500830;06. Aug
ARO;19500831;06. Aug
ARO;19500901;04. Mai
ARO;19500902;02. Aug
ARO;19500903;03. Feb
ARO;19500904;2.0
ARO;19500905;4.0
ARO;19500906;06. Sep
ARO;19500907;05. Mai
ARO;19500908;08. Feb
ARO;19500909;06. Feb
ARO;19500910;08. Mrz
ARO;19500911;08. Jun
ARO;19500912;09. Feb
ARO;19500913;06. Mai
ARO;19500914;09. Apr
ARO;19500915;2.0
ARO;19500916;-0.6
ARO;19500917;-1.8
ARO;19500918;01. Feb
ARO;19500919;02. Jul
ARO;19500920;02. Mai
ARO;19500921;-1.6
ARO;19500922;-1.6
ARO;19500923;-2.5
ARO;19500924;-0.5
ARO;19500925;03. Mai
ARO;19500926;02. Apr
ARO;19500927;01. Apr
ARO;19500928;0.2
ARO;19500929;01. Jun
ARO;19500930;02. Jun
ARO;19501001;02. Jun
ARO;19501002;01. Jun
ARO;19501003;0.1
ARO;19501004;-0.9
ARO;19501005;03. Feb
ARO;19501006;0.5
ARO;19501007;03. Mrz
ARO;19501008;03. Jun
ARO;19501009;03. Aug
ARO;19501010;05. Feb
ARO;19501011;03. Jul
ARO;19501012;1.0
ARO;19501013;01. Mai
ARO;19501014;4.0
ARO;19501015;03. Feb
ARO;19501016;03. Feb
ARO;19501017;01. Sep
ARO;19501018;01. Sep
ARO;19501019;0.7
ARO;19501020;0.7
ARO;19501021;03. Jul
ARO;19501022;03. Jul
ARO;19501023;2.0
ARO;19501024;01. Feb
ARO;19501025;-4.4
ARO;19501026;-6.9
ARO;19501027;-10.0
ARO;19501028;-11.4
ARO;19501029;-8.7
ARO;19501030;-11.4
ARO;19501031;-10.7
ARO;19501101;-5.3
ARO;19501102;-1.3
ARO;19501103;-4.9
ARO;19501104;-6.8
ARO;19501105;-7.0
ARO;19501106;-7.2
ARO;19501107;-9.9
ARO;19501108;-11.3
ARO;19501109;-9.0
ARO;19501110;-2.4
ARO;19501111;03. Feb
ARO;19501112;-1.9
ARO;19501113;-4.5
ARO;19501114;-5.0
ARO;19501115;-6.4
ARO;19501116;-8.3
ARO;19501117;-6.4
ARO;19501118;-5.8
ARO;19501119;-6.0
ARO;19501120;-4.9
ARO;19501121;-6.2
ARO;19501122;-3.0
ARO;19501123;-7.2
ARO;19501124;-7.7
ARO;19501125;-4.4
ARO;19501126;-3.4
ARO;19501127;-7.5
ARO;19501128;-4.8
ARO;19501129;-2.0
ARO;19501130;-9.0
ARO;19501201;-9.0
ARO;19501202;-0.1
ARO;19501203;-4.0
ARO;19501204;-11.9
ARO;19501205;-12.0
ARO;19501206;-11.6
ARO;19501207;-10.0
ARO;19501208;-7.4
ARO;19501209;-7.2
ARO;19501210;-8.0
ARO;19501211;-8.0
ARO;19501212;-11.9
ARO;19501213;-13.9
ARO;19501214;-4.9
ARO;19501215;-6.8
ARO;19501216;-13.6
ARO;19501217;-17.2
ARO;19501218;-17.0
ARO;19501219;-14.7
ARO;19501220;-14.1
ARO;19501221;-14.4
ARO;19501222;-15.0
ARO;19501223;-7.7
ARO;19501224;-4.2
ARO;19501225;-6.6
ARO;19501226;-8.2
ARO;19501227;-8.0
ARO;19501228;-8.3
ARO;19501229;-14.2
ARO;19501230;-16.7
ARO;19501231;-13.0
ARO;19510101;-11.5
ARO;19510102;-7.7
ARO;19510103;-8.8
ARO;19510104;-8.8
ARO;19510105;-7.9
ARO;19510106;-2.5
ARO;19510107;-3.4
ARO;19510108;-8.3
ARO;19510109;-8.2
ARO;19510110;-8.8
ARO;19510111;-6.0
ARO;19510112;-4.0
ARO;19510113;-8.4
ARO;19510114;-9.1
ARO;19510115;-9.3
ARO;19510116;-10.4
ARO;19510117;-12.4
ARO;19510118;-10.9
ARO;19510119;-7.4
ARO;19510120;-8.3
ARO;19510121;-5.1
ARO;19510122;-3.5
ARO;19510123;-5.0
ARO;19510124;-5.9
ARO;19510125;-3.2
