Jahr;Monat;Gemeinde;Logiernaechte
2013;Januar;Arosa;73314
2013;Februar;Arosa;87284
2013;Maerz;Arosa;77321
2013;April;Arosa;7010
2013;Mai;Arosa;307
2013;Juni;Arosa;9663
2013;Juli;Arosa;43208
2013;August;Arosa;40855
2013;September;Arosa;19073
2013;Oktober;Arosa;8319
2013;November;Arosa;2616
2013;Dezember;Arosa;53618
2014;Januar;Arosa;73868
2014;Februar;Arosa;80886
2014;Maerz;Arosa;76450
2014;April;Arosa;13312
2014;Mai;Arosa;349
2014;Juni;Arosa;8398
2014;Juli;Arosa;38837
2014;August;Arosa;35495
2014;September;Arosa;21483
2014;Oktober;Arosa;7650
2014;November;Arosa;1765
2014;Dezember;Arosa;52308
2015;Januar;Arosa;71577
2015;Februar;Arosa;86788
2015;Maerz;Arosa;65409
2015;April;Arosa;11172
2015;Mai;Arosa;347
2015;Juni;Arosa;5508
2015;Juli;Arosa;35107
2015;August;Arosa;27090
2015;September;Arosa;17358
2015;Oktober;Arosa;9164
2015;November;Arosa;2703
2015;Dezember;Arosa;39671
2016;Januar;Arosa;58215
2016;Februar;Arosa;84257
2016;Maerz;Arosa;71116
2016;April;Arosa;6773
2016;Mai;Arosa;324
2016;Juni;Arosa;4321
2016;Juli;Arosa;35272
2016;August;Arosa;31196
2016;September;Arosa;20153
2016;Oktober;Arosa;7023
2016;November;Arosa;2491
2016;Dezember;Arosa;41696
2017;Januar;Arosa;61897
2017;Februar;Arosa;76807
2017;Maerz;Arosa;62762
2017;April;Arosa;11365
2017;Mai;Arosa;731
2017;Juni;Arosa;6246
2017;Juli;Arosa;33285
2017;August;Arosa;30012
2017;September;Arosa;16329
2017;Oktober;Arosa;6930
2017;November;Arosa;2585
2017;Dezember;Arosa;41024
2018;Januar;Arosa;65386
2018;Februar;Arosa;79181
2018;Maerz;Arosa;66598
2018;April;Arosa;8361
2018;Mai;Arosa;643
2018;Juni;Arosa;9905
2018;Juli;Arosa;34843
2018;August;Arosa;32099
2018;September;Arosa;19847
2018;Oktober;Arosa;9665
2018;November;Arosa;2112
2018;Dezember;Arosa;43137
2019;Januar;Arosa;63520
2019;Februar;Arosa;76217
2019;Maerz;Arosa;66498
2019;April;Arosa;8690
2019;Mai;Arosa;412
2019;Juni;Arosa;10235
2019;Juli;Arosa;40602
2019;August;Arosa;39582
2019;September;Arosa;17228
2019;Oktober;Arosa;9209
2019;November;Arosa;2785
2019;Dezember;Arosa;49039
2020;Januar;Arosa;69347
2020;Februar;Arosa;77939
2020;Maerz;Arosa;27537
2020;April;Arosa;33
2020;Mai;Arosa;712
2020;Juni;Arosa;10922
2020;Juli;Arosa;53957
2020;August;Arosa;46579
2020;September;Arosa;27410
2020;Oktober;Arosa;14994
2020;November;Arosa;5043
2020;Dezember;Arosa;35033
2021;Januar;Arosa;35250
2021;Februar;Arosa;61978
2021;Maerz;Arosa;48585
2021;April;Arosa;11057
2021;Mai;Arosa;1187
2021;Juni;Arosa;13880
2021;Juli;Arosa;48299
2021;August;Arosa;46770
2021;September;Arosa;24628
2021;Oktober;Arosa;14323
2021;November;Arosa;4214
2021;Dezember;Arosa;49743
2022;Januar;Arosa;56003
2022;Februar;Arosa;79859
2022;Maerz;Arosa;68204
2022;April;Arosa;20928
2022;Mai;Arosa;816
2022;Juni;Arosa;10644
2022;Juli;Arosa;36962
